Country Name,Country Code,Type,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",Electricity production from coal sources (% of total),Forest area (% of land area),Pump price for gasoline (US$ per liter),"Gross enrolment ratio, tertiary, both sexes (%)",Average precipitation in depth (mm per year),"Life expectancy at birth, total (years)"
Georgia,GEO,Country,15.51,0.00,40.62,1.34,27.93,1026,73.94
Ghana,GHA,Country,26.54,0.00,40.66,0.92,12.20,1187,60.98
Guinea,GIN,Country,27.02,NA,26.34,1.34,9.93,1651,57.64
"Gambia, The",GMB,Country,34.80,NA,47.75,NA,NA,836,59.78
Guinea-Bissau,GNB,Country,30.20,NA,71.19,NA,NA,1577,54.50
Equatorial Guinea,GNQ,Country,11.25,NA,57.14,NA,NA,2156,56.89
Greece,GRC,Country,15.37,51.21,30.75,2.06,116.62,652,80.63
Grenada,GRD,Country,16.87,NA,49.97,1.4,NA,2350,73.00
Greenland,GRL,Country,NA,NA,0.00,NA,NA,NA,NA
Guatemala,GTM,Country,12.40,13.15,34.05,1.14,NA,1996,71.25
Guam,GUM,Country,NA,NA,46.30,NA,NA,NA,78.62
Guyana,GUY,Country,8.75,NA,84.10,1.08,12.91,2387,66.22
High income,HIC,Aggregate,15.21,29.40,34.50,1.82,75.21,NA,78.93
"Hong Kong SAR, China",HKG,Country,NA,70.32,NA,2.16,60.13,NA,83.48
Honduras,HND,Country,8.67,1.70,44.26,1.25,20.40,1976,72.76
Heavily indebted poor countries (HIPC),HPC,Aggregate,19.57,0.09,28.32,1.28,7.67,NA,59.80
Croatia,HRV,Country,13.93,21.53,34.32,1.77,61.63,1113,76.92
Haiti,HTI,Country,13.35,0.00,3.61,1.25,NA,1440,62.03
Hungary,HUN,Country,15.76,18.66,22.70,1.84,59.63,589,75.06
Indonesia,IDN,Country,14.77,48.66,51.37,0.47,31.51,2702,68.52
Isle of Man,IMN,Country,NA,NA,6.07,NA,NA,NA,NA
India,IND,Country,46.68,71.07,23.59,1.25,24.80,1083,67.29
Not classified,INX,Country,NA,NA,NA,NA,NA,NA,NA
Ireland,IRL,Country,7.93,20.08,10.70,2.02,71.24,1118,80.90
"Iran, Islamic Rep.",IRN,Country,31.89,0.16,6.57,0.33,55.16,228,74.80
Iraq,IRQ,Country,32.57,0.00,1.90,NA,NA,216,69.24
Iceland,ISL,Country,7.18,0.00,0.45,1.99,81.36,1940,82.92
Israel,ISR,Country,25.78,61.42,7.32,2.01,67.89,435,81.70
Italy,ITA,Country,18.34,18.20,31.06,2.28,62.47,832,82.24
Jamaica,JAM,Country,11.13,0.00,31.06,1.2,30.82,2051,73.28
Jordan,JOR,Country,25.64,0.00,1.10,1.44,46.61,111,73.75
Japan,JPN,Country,16.03,29.55,68.47,2,61.46,1668,83.10
Kazakhstan,KAZ,Country,14.22,76.11,1.23,1.01,56.29,250,69.61
Kenya,KEN,Country,11.43,0.00,7.56,1.37,NA,630,60.27
Kyrgyz Republic,KGZ,Country,18.34,4.80,3.45,0.89,NA,533,70.00
Cambodia,KHM,Country,19.74,2.58,55.74,1.35,NA,1904,67.33
Kiribati,KIR,Country,7.43,NA,15.00,NA,NA,630,65.60
St. Kitts and Nevis,KNA,Country,NA,NA,42.31,NA,NA,1427,NA
"Korea, Rep.",KOR,Country,29.08,45.08,63.76,1.8,NA,1274,81.21
Kosovo,KSV,Country,NA,98.15,NA,1.65,NA,NA,70.50
Kuwait,KWT,Country,49.13,0.00,0.35,0.23,NA,121,74.36
Latin America & Caribbean (developing only),LAC,Aggregate,13.78,5.04,54.19,1.26,37.27,NA,74.15
Lao PDR,LAO,Country,27.48,NA,78.83,1.33,16.73,1834,65.25
Lebanon,LBN,Country,23.56,0.00,13.40,1.11,46.26,661,79.85
Liberia,LBR,Country,22.72,NA,44.32,1.17,11.64,2391,60.20
Libya,LBY,Country,27.82,0.00,0.12,0.12,NA,56,71.65
St. Lucia,LCA,Country,15.61,NA,33.57,NA,10.18,2301,74.78
Latin America & Caribbean (all income levels),LCN,Aggregate,13.51,5.62,46.59,1.28,43.41,NA,74.48
Least developed countries: UN classification,LDC,Aggregate,26.25,0.93,27.17,1.34,8.85,NA,62.33
Low income,LIC,Aggregate,19.67,NA,27.98,1.41,7.75,NA,60.26
Liechtenstein,LIE,Country,NA,NA,43.13,1.88,42.50,56,82.38
Sri Lanka,LKA,Country,17.15,11.80,33.32,1.29,16.97,1712,74.07
Lower middle income,LMC,Aggregate,35.92,44.23,26.56,1.25,21.95,NA,66.70
Low & middle income,LMY,Aggregate,35.43,53.49,28.05,1.29,24.84,NA,69.06
Lesotho,LSO,Country,10.70,NA,1.52,1.24,10.83,788,48.84
Lithuania,LTU,Country,13.75,0.00,34.69,1.83,73.95,656,73.86
Luxembourg,LUX,Country,14.80,0.00,33.47,1.64,19.74,934,81.39
Latvia,LVA,Country,12.02,0.03,53.95,1.8,65.13,641,73.78
"Macao SAR, China",MAC,Country,NA,NA,NA,NA,56.05,NA,80.12
St. Martin (French part),MAF,Country,NA,NA,NA,NA,NA,NA,79.02
Morocco,MAR,Country,17.36,43.37,12.67,1.42,NA,346,73.36
Monaco,MCO,Country,NA,NA,NA,2.23,NA,NA,NA
Moldova,MDA,Country,17.06,0.00,12.03,1.42,40.11,450,68.69
Madagascar,MDG,Country,6.20,NA,21.52,1.49,4.09,1513,64.25
Maldives,MDV,Country,NA,NA,3.33,1.1,NA,1972,76.46
Middle East & North Africa (all income levels),MEA,Aggregate,31.55,3.99,2.06,0.525,34.44,NA,72.69
Mexico,MEX,Country,11.93,11.68,34.11,0.86,28.99,758,76.35
Marshall Islands,MHL,Country,NA,NA,70.22,NA,42.86,560,NA
Middle income,MIC,Aggregate,37.28,54.15,28.07,1.255,26.81,NA,70.07
"Macedonia, FYR",MKD,Country,17.00,77.16,39.57,1.75,38.46,619,75.03
Mali,MLI,Country,35.93,NA,4.06,1.41,7.47,282,57.10
Malta,MLT,Country,14.09,0.00,1.09,1.92,41.21,560,80.75
Myanmar,MMR,Country,28.93,7.18,46.97,1.04,13.38,2091,65.43
Middle East & North Africa (developing only),MNA,Aggregate,29.26,1.77,2.51,0.86,33.53,NA,72.14
Montenegro,MNE,Country,14.95,48.07,61.49,1.82,NA,241,74.65
Mongolia,MNG,Country,8.33,94.75,8.27,1.29,58.77,241,68.61
Northern Mariana Islands,MNP,Country,NA,NA,65.20,NA,NA,NA,NA
Mozambique,MOZ,Country,7.33,0.00,49.03,1.58,5.15,1032,54.21
Mauritania,MRT,Country,70.13,NA,0.23,1.43,5.14,92,62.56
Mauritius,MUS,Country,9.65,41.12,18.96,1.65,39.86,2041,73.86
Malawi,MWI,Country,9.13,NA,33.95,1.93,NA,1181,60.05
Malaysia,MYS,Country,14.40,41.51,67.42,0.62,37.20,2875,74.42
North America,NAC,Country,10.88,34.79,35.99,1.145,90.91,NA,78.99
Namibia,NAM,Country,8.32,0.91,8.67,1.24,NA,285,63.88
New Caledonia,NCL,Country,NA,NA,45.90,NA,NA,NA,77.12
Niger,NER,Country,38.12,NA,0.93,1.12,1.75,151,60.07
Nigeria,NGA,Country,29.51,0.00,9.03,0.62,NA,1150,52.11
Nicaragua,NIC,Country,6.98,0.00,25.88,1.23,NA,2280,74.21
Netherlands,NLD,Country,16.84,26.64,11.10,2.33,77.34,778,81.10
High income: nonOECD,NOC,Aggregate,19.25,13.79,38.64,NA,68.29,NA,73.63
Norway,NOR,Country,6.04,0.11,33.14,2.53,74.10,1414,81.45
Nepal,NPL,Country,46.09,0.00,25.36,1.44,NA,1500,68.82
New Zealand,NZL,Country,8.64,8.02,38.55,1.77,79.78,1732,81.16
High income: OECD,OEC,Aggregate,14.02,32.77,31.43,1.945,77.61,NA,80.54
OECD members,OED,Aggregate,14.00,32.09,31.21,1.945,70.69,NA,79.80
Oman,OMN,Country,30.35,0.00,0.01,0.31,NA,125,76.59
Other small states,OSS,Aggregate,16.09,19.77,26.83,1.27,12.35,NA,61.66
Pakistan,PAK,Country,46.18,0.06,2.08,1.14,9.53,494,65.72
Panama,PAN,Country,6.81,8.06,62.77,1.05,43.46,2928,77.24
Peru,PER,Country,12.90,1.99,58.18,1.63,NA,1738,74.06
Philippines,PHL,Country,8.60,38.76,24.55,1.25,31.48,2348,68.01
Palau,PLW,Country,NA,NA,87.61,NA,NA,494,NA
Papua New Guinea,PNG,Country,5.90,NA,74.12,NA,NA,3142,62.30
Poland,POL,Country,16.98,84.39,30.60,1.74,73.19,600,76.80
Puerto Rico,PRI,Country,NA,NA,54.79,NA,86.57,2054,78.54
"Korea, Dem. Rep.",PRK,Country,24.33,26.95,44.95,NA,NA,1054,69.49
Portugal,PRT,Country,9.90,28.71,35.12,2.15,68.86,854,80.37
Paraguay,PRY,Country,14.13,0.00,41.02,1.74,NA,1130,72.65
Pacific island small states,PSS,Aggregate,6.57,NA,61.62,NA,NA,NA,69.54
French Polynesia,PYF,Country,NA,NA,42.35,NA,NA,NA,76.13
Qatar,QAT,Country,38.36,0.00,0.00,0.27,12.15,74,78.23
Romania,ROU,Country,16.82,38.98,28.93,1.7,NA,637,74.46
Russian Federation,RUS,Country,14.23,15.75,49.77,0.99,76.14,460,70.37
Rwanda,RWA,Country,17.02,NA,18.63,1.73,6.90,1212,62.80
South Asia,SAS,Country,45.96,61.92,17.39,1.22,21.20,NA,67.43
Saudi Arabia,SAU,Country,54.12,0.00,0.45,0.16,50.94,59,74.02
Sudan,SDN,Country,26.59,0.00,8.31,0.63,15.14,250,62.83
Senegal,SEN,Country,41.21,0.00,43.59,1.72,NA,686,65.32
Singapore,SGP,Country,16.68,0.00,23.16,1.68,NA,2497,82.00
Solomon Islands,SLB,Country,4.54,NA,78.66,NA,NA,3028,67.51
Sierra Leone,SLE,Country,23.92,NA,39.53,1.05,NA,2526,49.75
El Salvador,SLV,Country,12.92,0.00,13.43,1.26,25.45,1784,72.23
San Marino,SMR,Country,NA,NA,0.00,NA,59.85,NA,NA
Somalia,SOM,Country,10.39,NA,10.51,NA,NA,282,54.69
Serbia,SRB,Country,15.78,72.80,31.05,1.78,52.38,686,74.84
Sub-Saharan Africa (developing only),SSA,Aggregate,20.55,54.95,26.03,1.355,8.33,NA,57.55
South Sudan,SSD,Country,16.33,NA,NA,1.97,NA,900,54.73
Sub-Saharan Africa (all income levels),SSF,Aggregate,20.54,54.57,26.07,1.355,8.33,NA,57.55
Small states,SST,Aggregate,14.12,NA,37.94,NA,14.49,NA,64.61
Sao Tome and Principe,STP,Country,6.77,NA,55.83,NA,7.67,3200,66.13
Suriname,SUR,Country,11.48,NA,98.36,1.57,NA,2331,70.81
Slovak Republic,SVK,Country,15.94,13.79,40.33,1.98,55.11,824,76.11
Slovenia,SVN,Country,13.62,33.11,61.94,1.86,86.02,1162,80.12
Sweden,SWE,Country,7.32,0.54,68.92,2.1,70.03,624,81.70
Swaziland,SWZ,Country,10.38,NA,33.27,1.3,NA,788,48.85
Sint Maarten (Dutch part),SXM,Country,NA,NA,NA,NA,NA,NA,NA
Seychelles,SYC,Country,6.51,NA,88.41,NA,1.33,2330,74.23
Syrian Arab Republic,SYR,Country,23.54,0.00,2.67,0.79,29.88,252,74.71
Turks and Caicos Islands,TCA,Country,NA,NA,36.21,NA,NA,NA,NA
Chad,TCD,Country,30.71,NA,4.17,0.95,NA,322,50.78
Togo,TGO,Country,25.40,0.00,4.55,1.16,10.31,1168,58.55
Thailand,THA,Country,22.36,20.02,31.92,1.56,51.40,1622,74.07
Tajikistan,TJK,Country,19.62,0.00,2.94,1.45,22.47,691,69.17
Turkmenistan,TKM,Country,41.68,0.00,8.78,0.22,NA,161,65.31
Timor-Leste,TLS,Country,6.21,NA,48.39,1.65,NA,1500,67.02
Tonga,TON,Country,7.42,NA,12.50,NA,NA,NA,72.49
Trinidad and Tobago,TTO,Country,9.17,0.00,44.76,NA,NA,2200,70.15
Tunisia,TUN,Country,16.35,0.00,6.50,0.93,35.20,207,74.00
Turkey,TUR,Country,17.21,28.40,14.82,2.54,69.39,593,74.86
Tuvalu,TUV,Country,NA,NA,33.33,NA,NA,161,NA
Tanzania,TZA,Country,9.16,0.00,53.26,1.31,3.92,1071,63.52
Uganda,UGA,Country,17.63,NA,12.38,NA,NA,1180,57.10
Ukraine,UKR,Country,15.09,40.54,16.56,1.35,79.70,565,70.94
Upper middle income,UMC,Aggregate,38.92,57.23,28.82,1.375,32.84,NA,74.13
Uruguay,URY,Country,6.68,0.00,10.15,1.97,NA,1300,76.69
United States,USA,Country,10.75,38.48,33.81,0.97,94.28,715,78.74
Uzbekistan,UZB,Country,25.53,4.09,7.65,1.02,NA,206,68.10
St. Vincent and the Grenadines,VCT,Country,14.50,NA,69.23,NA,NA,1583,72.67
"Venezuela, RB",VEN,Country,13.43,0.00,53.48,0.023,NA,2044,73.93
Virgin Islands (U.S.),VIR,Country,NA,NA,51.26,NA,NA,NA,79.47
Vietnam,VNM,Country,25.47,17.93,46.40,1.15,24.60,1821,75.61
Vanuatu,VUT,Country,7.38,NA,36.10,NA,NA,206,71.41
West Bank and Gaza,PSE,Country,26.36,NA,1.52,1.87,49.06,402,73.02
World,WLD,Aggregate,31.54,40.30,30.79,1.41,32.28,NA,70.98
Samoa,WSM,Country,7.42,NA,60.42,NA,NA,1583,72.98
"Yemen, Rep.",YEM,Country,36.19,0.00,1.04,0.58,NA,167,63.33
South Africa,ZAF,Country,14.33,93.84,7.62,1.38,19.70,495,56.10
"Congo, Dem. Rep.",COD,Country,18.08,0.00,67.71,1.48,8.23,1543,57.85
Zambia,ZMB,Country,11.78,0.00,66.10,1.48,NA,1020,58.36
Zimbabwe,ZWE,Country,9.07,39.73,38.77,1.52,5.94,657,53.64
